,Ones,Zeros,Output
0,26283,83802,0
1,7838,88464,0
2,17512,78902,0
3,18133,88023,0
4,13790,88813,0
5,9707,94139,0
6,10913,71485,0
7,6854,67489,0
8,4201,118995,0
9,4118,79491,0
10,19899,86546,0
11,26864,78644,0
12,8971,88896,0
13,11155,130585,0
14,4591,87562,0
15,1357,62603,0
16,13309,93968,0
17,4007,85122,0
18,19584,81152,0
19,13609,73021,0
20,21063,100021,0
21,2350,65238,0
22,4025,62089,0
23,10816,92479,0
24,3011,61651,0
25,13586,71171,0
26,18742,113821,0
27,7217,82335,0
28,1447,64586,0
29,6473,97066,0
30,15910,75042,0
31,109,115810,0
32,9866,111946,0
33,15603,68554,0
34,5706,85316,0
35,6045,67181,0
36,6688,67218,0
37,1107,84849,0
38,6145,92970,0
39,938,74435,0
40,9655,88841,0
41,2947,64634,0
42,9688,80238,0
43,14025,79638,0
44,14570,84902,0
45,14820,78661,0
46,3988,91891,0
47,9298,66571,0
48,30776,73664,0
49,6161,69355,0
50,4304,74473,0
51,4881,97626,0
52,10920,88339,0
53,23575,77955,0
54,11380,86766,0
55,20867,82146,0
56,15668,89720,0
57,6963,61966,0
58,8756,73245,0
59,19805,74419,0
60,18304,96234,0
61,9522,98033,0
62,18360,122092,0
63,7525,91809,0
64,10270,71418,0
65,14819,94144,0
66,1860,74416,0
67,4012,103697,0
68,12330,84579,0
69,11031,78929,0
70,13418,78608,0
71,6803,89070,0
72,5445,91165,0
73,6733,87093,0
74,3308,73850,0
75,5596,95144,0
76,5744,80680,0
77,5739,87854,0
78,11281,95245,0
79,15632,115315,0
80,7994,76645,0
81,8034,91129,0
82,9190,70377,0
83,12321,93839,0
84,20637,64177,0
85,3694,101835,0
86,14028,159969,0
87,19552,90173,0
88,13982,70716,0
89,15862,75947,0
90,15103,99750,0
91,1382,53675,0
92,2746,95092,0
93,12323,88779,0
94,8545,77577,0
95,14638,68096,0
96,1124,59754,0
97,6083,87673,0
98,10950,78908,0
99,5053,86224,0
100,15869,92235,0
101,10178,94811,0
102,234,65127,0
103,5571,87907,0
104,14061,70889,0
105,10911,94408,0
106,6048,72203,0
107,25370,64458,0
108,9342,89671,0
109,5668,83150,0
110,11063,77995,0
111,11467,62788,0
112,8723,86289,0
113,12937,102943,0
114,5503,100500,0
115,12991,105498,0
116,9312,82541,0
117,6895,61251,0
118,8048,72989,0
119,19249,71948,0
120,5418,60722,0
121,10030,94250,0
122,14638,86939,0
123,10847,106740,0
124,1542,56440,0
125,22656,93141,0
126,6339,85481,0
127,10257,95176,0
128,10987,86772,0
129,14011,126524,0
130,3517,118222,0
131,13932,100020,0
132,9136,101722,0
133,5994,72090,0
134,11615,82859,0
135,14528,98755,0
136,19774,86413,0
137,500,73020,0
138,4555,94973,0
139,5515,82577,0
140,25115,96989,0
141,6194,58104,0
142,498,57306,0
143,23025,98782,0
144,3019,63316,0
145,17146,68960,0
146,19510,102386,0
147,12582,89827,0
148,11586,60578,0
149,9415,93994,0
150,10692,78929,0
151,801,66495,0
152,12225,65031,0
153,12652,118081,0
154,10061,88861,0
155,6790,84150,0
156,890,76453,0
157,4263,106238,0
158,10913,96934,0
159,3104,81792,0
160,23693,75414,0
161,9151,78687,0
162,7461,88044,0
163,15469,88118,0
164,8724,93078,0
165,21264,79818,0
166,2182,68833,0
167,9645,95572,0
168,1311,73765,0
169,3732,91139,0
170,2211,57918,0
171,5002,72016,0
172,12175,68589,0
173,24752,108681,0
174,1756,65287,0
175,7433,105630,0
176,25103,73952,0
177,25453,85744,0
178,8957,77833,0
179,21635,80523,0
180,4902,76447,0
181,21363,99218,0
182,8607,103964,0
183,13196,95098,0
184,5771,67875,0
185,11086,95017,0
186,3389,57832,0
187,10002,88930,0
188,1455,62085,0
189,28234,77603,0
190,5191,67213,0
191,6850,107457,0
192,5752,83234,0
193,1730,88014,0
194,6601,68243,0
195,9692,66068,0
196,8052,82199,0
197,9974,79082,0
198,2127,134562,0
199,6016,70673,0
200,12250,115845,0
201,1052,62214,0
202,3630,87157,0
203,16700,88282,0
204,6180,73357,0
205,26435,77404,0
206,2672,75331,0
207,8443,84682,0
208,1086,107680,0
209,10727,87933,0
210,23568,78546,0
211,10226,75912,0
212,8467,92223,0
213,8329,76747,0
214,9127,106731,0
215,24436,89162,0
216,10976,83284,0
217,15028,92038,0
218,5050,77716,0
219,2095,71941,0
220,6486,74051,0
221,9270,81123,0
222,9654,79875,0
223,13501,76504,0
224,11937,89150,0
225,5312,75144,0
226,12199,61212,0
227,28988,306409,0
228,12665,103719,0
229,1710,75439,0
230,10778,88516,0
231,14455,72460,0
232,15044,91446,0
233,6943,104100,0
234,20032,81701,0
235,19293,67093,0
236,12342,102320,0
237,58,64137,0
238,30994,93313,0
239,24306,80011,0
240,12548,84464,0
241,9191,85408,0
242,13696,108693,0
243,2331,56552,0
244,3987,128675,0
245,14997,92093,0
246,3746,78834,0
247,5894,110596,0
248,28570,77896,0
